inter_id,user_id,item_id,timestamp,rating,emo_pre_valence,emo_pre_arousal,emo_post_valence,emo_post_arousal,duration,rec_type
1,1,529,1625103746,1,0.35,-0.4575,-0.2740638286973004,0.14983863531581376,,
2,1,707,1625121151,3,0.4775,-0.3725,0.12294452128477025,0.6364940320680293,,
3,1,491,1625126852,3,0.4775,-0.0825,0.3227293683725219,0.3521848265969981,,
4,1,401,1625132694,4,0.3225,0.49,0.4892167409456483,-0.2266789611187952,,
5,1,114,1625135931,2,-0.4025,-0.355,-0.11013780031760667,-0.08068234209313048,,
6,1,126,1625137923,3,0.335,-0.2625,0.03842016290149071,0.380359612724758,,
7,1,516,1625152192,4,0.555,-0.0175,0.4098150709492342,-0.21131089595819888,,
8,1,995,1625193393,4,0.04,-0.55,0.3329747451462528,-0.3060806311152093,,
9,1,588,1625196711,2,0.4675,-0.1175,0.017929409354028997,0.326571384662671,,
10,1,461,1625201703,4,0.155,-0.5025,0.3560268428871472,0.014087393063879926,,
11,1,627,1625204976,4,-0.0775,0.5375,-0.015368065160596285,0.3419394498232673,,
12,1,597,1625210462,4,-0.0275,0.4675,0.08964704677014497,0.5698990830387788,,
13,1,100,1625216038,5,0.0575,0.455,0.5660570667486298,0.18825879821730448,,
14,1,156,1625219804,4,0.405,-0.0825,0.17929409354028994,0.4034117104656525,,
15,1,156,1625219804,4,-0.6825,-0.755,0.17929409354028994,0.4034117104656525,,
16,1,634,1625229395,4,0.205,-0.25,-0.3816402848214743,-0.3547461707904309,,
17,1,994,1625238461,3,0.4225,-0.3025,0.12038317709133756,0.4597612827211721,,
18,1,289,1625284945,5,0.1675,-0.425,0.5122688386865427,-0.14471594692894832,,
19,1,19,1625298043,4,-0.0375,0.345,0.4174991035295323,0.4776906920752011,,
20,1,848,1625382750,4,0.3475,-0.29,0.5045848061062446,0.034578146611341634,,
21,1,776,1625397097,2,0.2675,-0.455,0.04354285128835613,0.4725680036883357,,
22,1,89,1625400202,3,0.435,-0.0025,0.017929409354028997,0.4367091849802777,,
23,1,327,1625450498,3,-0.0625,0.3975,-0.08196301418984682,0.29583525434147845,,
24,1,784,1625469770,2,0.5475,-0.08,-0.12038317709133756,0.4648839711080375,,
25,1,171,1625480786,3,0.0425,0.705,0.1485579632190974,-0.25997643563342043,,
26,1,397,1625484247,3,0.24,-0.02,0.09989242354387584,0.3701142359510272,,
27,1,367,1625494470,2,0.04,0.3075,0.012806720967163569,-0.01664873725731264,,
28,1,493,1625541390,2,0.0,0.0,-0.545566313201168,-0.07812099789969777,,
29,1,955,1625548618,3,0.0975,0.38,-0.0025613441934327127,0.2855898775677476,,
30,1,955,1625548618,3,-0.5225,0.5625,-0.0025613441934327127,0.2855898775677476,,
31,1,23,1625552484,4,0.0925,-0.09,0.26125710773013683,0.14727729112238105,,
32,1,153,1625556948,4,0.04,-0.295,0.3560268428871472,0.3060806311152093,,
33,1,228,1625564492,4,0.01,0.515,0.2740638286973004,0.4904974130423647,,
34,1,144,1625568018,4,0.2325,0.115,0.4174991035295323,-0.24460837047282416,,
35,1,285,1625579311,4,0.38,0.025,0.45591926643102293,-0.2625377798268532,,
36,1,742,1625584501,5,0.4,-0.2525,0.35858818708057993,-0.43158649659341225,,
37,1,13,1625636346,2,0.285,-0.2625,0.14343527483223198,0.362430203370729,,
38,2,132,1625104007,5,-0.3,-0.065,0.3765175964346089,0.07555965370626505,,
39,2,843,1625118524,3,0.1675,-0.3075,0.3457814661134164,-0.011526048870447213,256.0,WD
40,2,17,1625128153,4,0.39,0.0875,0.0,0.0,,
41,2,576,1625138189,3,0.01,-0.3675,0.2586957635367041,-0.12678653757491934,69.0,GCN
42,2,517,1625149247,4,-0.045,0.6825,0.1690487167665591,0.7030889810972799,167.0,GCN
43,2,524,1625155160,5,0.2375,0.5875,0.0,0.0,,
44,2,513,1625208762,3,-0.32,-0.61,0.04866553967522156,0.2138722401516316,,
45,2,936,1625214109,4,0.0475,0.28,0.42262179191639776,-0.11654116080118848,461.0,GCN
46,2,936,1625214109,4,-0.2425,0.675,0.42262179191639776,-0.11654116080118848,461.0,GCN
47,2,588,1625235353,3,0.56,0.1575,0.9272065980226424,0.1191025049946212,,
48,2,461,1625236161,3,-0.1525,-0.3375,0.015368065160596285,0.5442856411044517,,
49,2,627,1625242246,4,0.305,-0.3,0.6966856206136981,-0.4264638082065468,,
50,2,977,1625284780,4,0.0,0.0,0.3278520567593873,-0.1191025049946212,,
51,2,341,1625290322,5,-0.3225,0.115,0.545566313201168,0.12166384918805392,,
52,2,740,1625311291,5,0.605,0.4975,0.9092771886686134,0.5673377388453461,,
53,2,754,1625376336,5,0.8,0.2775,0.8119461093181702,0.5929511807796732,,
54,2,742,1625387023,5,-0.775,-0.3975,0.2689411403104349,-0.2138722401516316,,
55,2,364,1625401062,4,-0.2075,0.345,0.2715024845038677,-0.31888735208237284,1002.0,Rand
56,2,562,1625408161,3,0.5825,0.395,-0.13318989805850112,0.7850519952871268,,
57,2,924,1625452765,5,0.64,0.6075,-0.9041545002817479,0.06019158854566878,,
58,2,555,1625473547,5,-0.715,-0.2025,0.17673274934685726,-0.9669074330208496,,
59,2,19,1625484774,3,-0.2175,-0.4475,0.25101173095640594,-0.43158649659341225,,
60,2,42,1625500628,3,0.7525,-0.365,-0.4046923825623688,-0.4059730546590851,,
61,2,367,1625572312,3,0.5325,0.275,0.6736335228728038,-0.3931663336919216,,
62,2,548,1625580637,4,0.935,0.3675,0.8145074535116029,0.631371343681164,,
63,3,529,1625444746,3,0.295,0.465,0.5301982480405717,0.4239024640131141,,
64,3,917,1625481902,3,0.9675,0.03,0.9220839096357768,-0.011526048870447213,,
