i_id_c,popularity,loudness,danceability,energy,key,speechiness,acousticness,instrumentalness,valence,tempo,general_genre_id,duration,F0final_sma_amean,F0final_sma_stddev,audspec_lengthL1norm_sma_stddev,pcm_RMSenergy_sma_stddev,pcm_fftMag_psySharpness_sma_amean,pcm_fftMag_psySharpness_sma_stddev,pcm_zcr_sma_amean,pcm_zcr_sma_stddev,general_genre,music,singer
874.0,22.0,-12.890999999999998,0.591,0.34,2.0,0.0298,0.6,2.69e-05,0.503,126.951,0,204200.0,109.69323,60.23169300000001,1.1640591999999998,0.07354751,0.50555575,0.98698497,0.04434874,0.104586184,indie,The Privateers,Andrew Bird
566.0,31.0,-5.275,0.522,0.815,0.0,0.0361,9.66e-05,0.636,0.595,119.08,1,184480.0,89.00308000000001,35.861885,1.4030712,0.06567423,0.570234,0.36983746,0.05406999,0.04685856,other,Never Stops,Deerhunter
812.0,24.0,-8.299,0.281,0.5660000000000001,5.0,0.0368,0.0559999999999999,0.368,0.0881,170.03,2,801893.0,109.02428,106.73801,1.4594582,0.07352013,0.5754854,0.56402695,0.053406548,0.06349185,jazz,Night Of The Iguana,The Cinematic Orchestra
941.0,27.0,-4.149,0.53,0.735,0.0,0.0528,0.0085,0.0,0.956,180.082,3,138253.0,141.37668,94.58115,1.6685292,0.08796126,0.8179204000000001,0.901974,0.07679366,0.07442104,rock,You And Me,Plain White T's
802.0,34.0,-7.614,0.8059999999999999,0.696,7.0,0.0999,0.124,2.22e-06,0.731,96.998,4,218560.0,148.34991000000002,106.38221,1.0046693000000002,0.078985654,0.8514777,0.855115,0.06860585,0.059858095,reggae,Saber Su Nombre,Daddy Yankee
371.0,78.0,-5.7079999999999975,0.545,0.865,11.0,0.0286,0.00664,1.1e-05,0.5429999999999999,99.009,3,233933.0,108.30258,49.8221,1.0499811,0.066300884,0.7452913000000001,0.48656067,0.07132026,0.03585232,rock,The Better Life,3 Doors Down
739.0,61.0,-24.661,0.417,0.0889,2.0,0.036,0.926,0.897,0.411,88.25,5,269533.0,98.32859,44.975338,0.45183527,0.046603628,0.37905398,1.0043099,0.03321073,0.13629763,metal,Planet Caravan,Black Sabbath
817.0,35.0,-11.117,0.205,0.271,7.0,0.0354,0.855,0.00081,0.254,68.658,1,341040.0,126.356575,66.48351,1.5812181,0.09513857,0.47277606,0.44089293,0.034580395,0.035279423,other,The Animals Were Gone,Damien Rice
980.0,43.0,-10.244000000000002,0.652,0.509,0.0,0.0284,0.336,0.00418,0.6659999999999999,109.254,0,168266.0,84.0146,35.153,0.9246435,0.05296702,0.4340782999999999,0.40684074,0.053264003,0.08774894,indie,Ballad Of Big Nothing,Elliott Smith
893.0,52.0,-3.962,0.423,0.943,10.0,0.0917,0.0012,5.08e-06,0.406,168.02200000000005,3,189986.0,98.146706,60.57779,1.3468612,0.075036384,0.6973971,0.4090523,0.0662217,0.041167382,rock,The '59 Sound,The Gaslight Anthem
70.0,42.0,-4.075,0.467,0.73,4.0,0.0326,0.0311,0.0,0.634,159.971,4,212840.0,128.77504,81.43384,1.5693369,0.09351742,0.6057404000000001,0.4019,0.05599366,0.047349412,reggae,No Creo En El Jamas,Juanes
987.0,10.0,-11.805,0.603,0.67,5.0,0.0306,0.0303,1.46e-06,0.7759999999999999,90.55,6,251386.0,126.255585,109.301285,0.97643965,0.03946064,0.8951938,0.58590436,0.08738102,0.059546746,pop,What's So Bad About Feeling Good,Wang Chung
997.0,33.0,-13.319,0.184,0.225,9.0,0.0365,0.7809999999999999,0.918,0.0386,110.1,1,396013.0,133.91269,101.32428,0.74190795,0.050651547,0.4964839,0.318334,0.036662456,0.027809784,other,Andvari,Sigur Rós
5.0,6.0,-2.559,0.532,0.964,0.0,0.0519,0.0477,0.0,0.804,122.778,3,223146.0,161.90012,135.70116000000002,1.5548956,0.07591443,1.2334793,0.65627986,0.1132895999999999,0.07272414,rock,You Give Love A Bad Name,Bon Jovi
300.0,76.0,-5.477,0.614,0.568,7.0,0.0276,0.00797,0.0,0.516,107.849,3,293960.0,108.91332,72.1941,1.252977,0.074186005,0.6262621,0.49868122,0.059643418,0.040506274,rock,Like A Stone,Audioslave
720.0,46.0,-15.336,0.611,0.563,2.0,0.0425,0.0062,0.746,0.359,103.002,7,262666.0,130.99731,105.39817,0.8455761999999999,0.0503424559999999,0.7564806,0.6407454,0.06609154,0.04772341,new age,Knocking On Forbidden Doors,Enigma
127.0,31.0,-10.477,0.677,0.634,11.0,0.03,0.6890000000000001,0.449,0.8190000000000001,90.006,8,287346.0,151.59149,140.75461,0.96737283,0.1022309999999999,0.53031296,0.44675347,0.03710956,0.040644746,electronic,You've Got Maelstrom,Blockhead
311.0,62.0,-10.441,0.433,0.46,2.0,0.0343,0.606,4.36e-05,0.536,77.525,9,221866.0,176.8409,115.53496,1.475726,0.078264125,0.62708455,0.398735,0.05181298,0.050114144,alternative,Change,Blind Melon
326.0,0.0,-21.57,0.368,0.0513,0.0,0.0486,0.993,0.929,0.0933,68.49,1,545666.0,244.91872,134.49123,0.4264153,0.03922897,0.5916076,0.6570352,0.034104582,0.091198325,other,Yearning Piano ,Bjornemyr
488.0,50.0,-3.702,0.4579999999999999,0.939,5.0,0.115,0.016,0.0,0.447,168.158,1,204440.0,183.31717,134.3669,1.239031,0.069052555,0.9352394,0.45172966,0.08990662,0.07442036,other,Things That Rhyme With Orange,I Set My Friends On Fire
891.0,22.0,-8.31,0.537,0.7879999999999999,0.0,0.0454,0.1009999999999999,2.01e-06,0.718,99.454,1,173000.0,102.51428,60.89178,1.2639235,0.06809777,0.64012146,0.574367,0.061160855,0.044027723,other,Fliegende Fische,Pohlmann
266.0,67.0,-4.579,0.601,0.8059999999999999,7.0,0.0345,0.0527,0.0,0.711,89.87,10,231920.0,146.64193999999998,84.27263,1.5845593,0.08101099,0.88105035,0.5635919,0.077302635,0.044872135,country,Alright,Darius Rucker
827.0,33.0,-6.68,0.487,0.7659999999999999,9.0,0.0466,0.0016899999999999,9.33e-05,0.156,139.113,9,285080.0,75.2893,48.632114,1.6365542,0.094422795,0.5327243,0.60714567,0.052556273,0.07501469,alternative,A Little's Enough,Angels and Airwaves
