user_id,item_id,No.,timestamp,rating,duration,emo_valence,emo_arousal
1,132,1,1625022948,4,96.59,0.668,0.105
1,707,2,1625023059,4,92.13,0.66,0.083
1,17,3,1625023164,5,98.73,0.699,0.493
1,605,4,1625023278,3,92.68,0.443,0.391
1,826,5,1625023384,5,93.56,0.689,0.355
1,524,6,1625023501,3,91.62,0.539,0.723
1,3,7,1625023605,2,92.64,0.472,0.147
1,516,8,1625023706,4,95.36,0.524,0.756
1,995,9,1625023810,2,91.36,0.308,0.69
1,873,10,1625023910,2,104.67,0.499,0.139
1,461,11,1625024045,2,91.57,0.435,0.313
1,453,12,1625024147,3,85.57,0.517,0.745
1,597,13,1625024242,4,98.92,0.613,0.512
1,395,14,1625024347,4,110.2,0.476,0.734
1,793,15,1625024470,4,87.95,0.599,0.69
1,740,16,1625024580,3,85.85,0.563,0.169
1,823,17,1625024670,3,90.63,0.385,0.587
1,720,18,1625024763,2,92.45,0.465,0.44
1,364,19,1625024860,3,83.18,0.503,0.391
1,120,20,1625024947,5,82.53,0.592,0.341
2,120,1,1626588236,4,113.95,0.626,0.435
2,863,2,1626588355,3,140.23,0.518,0.36
2,364,3,1626588498,3,128.8,0.417,0.401
2,3,4,1626588631,3,126.29,0.401,0.269
2,395,5,1626588761,3,134.33,0.471,0.425
2,826,6,1626588908,4,122.4,0.568,0.419
2,132,7,1626589033,4,131.06,0.574,0.339
2,720,8,1626589166,3,127.14,0.393,0.315
2,597,9,1626589296,3,126.77,0.568,0.355
2,468,10,1626589425,4,136.56,0.594,0.336
2,740,11,1626589570,3,134.3,0.551,0.379
2,5,12,1626589706,5,128.33,0.611,0.25
2,873,13,1626589837,2,121.9,0.487,0.228
2,17,14,1626589962,4,123.62,0.474,0.465
2,946,15,1626590087,5,126.8,0.6,0.347
2,676,16,1626590228,5,123.77,0.465,0.57
2,995,17,1626590354,3,133.21,0.497,0.616
2,707,18,1626590490,3,116.12,0.576,0.349
2,524,19,1626590608,4,136.18,0.537,0.683
2,793,20,1626590745,5,,0.692,0.645
3,132,1,1625305695,4,104.11,0.61,0.407
3,707,2,1625305813,2,123.02,0.532,0.432
3,17,3,1625305956,4,104.23,0.664,0.413
3,605,4,1625306072,2,117.25,0.521,0.676
3,826,5,1625306197,3,104.69,0.558,0.623
3,524,6,1625306385,1,105.29,0.487,0.817
3,3,7,1625306502,1,104.3,0.481,0.809
3,516,8,1625306625,3,105.83,0.588,0.712
3,995,9,1625306747,3,97.68,0.504,0.861
3,873,10,1625306862,1,101.05,0.344,0.357
3,461,11,1625307017,2,101.03,0.476,0.704
3,453,12,1625307128,4,106.8,0.615,0.568
3,597,13,1625307244,1,106.99,0.35,0.324
3,395,14,1625307362,3,101.14,0.501,0.693
3,793,15,1625307476,2,112.17,0.482,0.82
3,740,16,1625307641,3,102.93,0.572,0.283
3,823,17,1625307752,4,98.54,0.601,0.701
3,720,18,1625307860,3,108.7,0.503,0.346
3,364,19,1625307985,4,98.94,0.613,0.407
3,120,20,1625308091,3,105.41,0.628,0.393
4,132,1,1626065726,4,103.62,0.558,0.371
4,707,2,1626065851,3,108.56,0.571,0.452
4,17,3,1626065979,2,111.41,0.453,0.766
4,863,4,1626066106,5,137.79,0.625,0.239
4,826,5,1626066261,4,116.01,0.635,0.347
4,524,6,1626066417,4,126.32,0.471,0.282
4,3,7,1626066565,2,105.21,0.411,0.632
4,676,8,1626066686,3,93.89,0.606,0.567
4,995,9,1626066797,1,121.89,0.315,0.82
4,873,10,1626066933,2,112.58,0.453,0.599
4,5,11,1626067079,3,98.62,0.556,0.78
4,468,12,1626067195,2,120.59,0.464,0.766
4,597,13,1626067329,3,101.13,0.539,0.758
4,395,14,1626067447,3,100.48,0.601,0.831
4,793,15,1626067564,2,100.63,0.412,0.788
4,740,16,1626067730,1,101.73,0.422,0.677
4,946,17,1626067848,1,95.02,0.382,0.82
4,720,18,1626067956,3,101.23,0.608,0.591
4,364,19,1626068079,2,128.48,0.404,0.801
4,120,20,1626068225,3,110.74,0.615,0.68
5,132,1,1626086170,3,116.42,0.644,0.231
5,707,2,1626086295,3,137.21,0.549,0.366
5,17,3,1626086447,3,185.35,0.537,0.444
5,605,4,1626086646,4,155.26,0.324,0.349
5,826,5,1626086829,3,124.87,0.689,0.358
5,524,6,1626087014,5,158.01,0.608,0.71
5,3,7,1626087185,3,147.22,0.553,0.78
5,516,8,1626087350,3,171.68,0.59,0.675
5,995,9,1626087527,4,181.55,0.61,0.261
5,873,10,1626087714,2,102.82,0.549,0.153
5,461,11,1626087848,4,187.53,0.646,0.255
5,453,12,1626088042,3,136.97,0.565,0.712
5,597,13,1626088191,3,136.88,0.585,0.325
5,395,14,1626088344,2,117.8,0.517,0.766
5,793,15,1626088468,3,212.89,0.549,0.785
5,740,16,1626088729,2,94.89,0.5,0.806
5,823,17,1626088831,4,148.35,0.619,0.696
5,720,18,1626088986,3,167.8,0.539,0.715
5,364,19,1626089320,3,16.95,0.526,0.769
5,120,20,1626089339,3,114.2,0.639,0.551
6,132,1,1626092983,4,98.51,0.606,0.293
6,707,2,1626093084,4,95.1,0.66,0.191
6,17,3,1626093181,3,68.37,0.606,0.602
6,863,4,1626093252,5,79.4,0.661,0.411
6,826,5,1626093333,4,100.33,0.611,0.301
6,524,6,1626093450,3,72.64,0.654,0.398
6,3,7,1626093525,2,74.14,0.56,0.798
6,676,8,1626093600,5,71.09,0.662,0.288
6,995,9,1626093673,2,67.0,0.335,0.597
6,873,10,1626093741,3,76.08,0.611,0.293
6,5,11,1626093835,3,75.68,0.611,0.387
