inter_id,user_id,item_id,timestamp,rating,preference,emo_pre_valence,emo_pre_arousal,emo_post_valence,emo_post_arousal,duration,rec_type
1,14,638,1649214811,3,53,0.28675,0.23125,0.2756892230576441,0.2756892230576441,342,Random
2,21,886,1649215774,4,73,-0.323,-0.60975,0.44834307992202727,0.44834307992202727,236,MUMRc
3,26,206,1649216899,4,84,0.5965,-0.47,0.899749373433584,0.899749373433584,251,MUMR
4,26,910,1649219164,4,60,0.50125,-0.43975,0.568922305764411,0.568922305764411,201,Random
5,21,136,1649219657,2,32,0.63225,-0.5125,0.328599275967697,0.328599275967697,195,Random
6,11,205,1649221478,1,9,0.543,-0.2255,0.4650515176830966,0.4650515176830966,257,Random
7,26,739,1649224458,4,66,0.14275,-0.81575,0.3408521303258145,0.3408521303258145,220,MUMR
8,14,375,1649225853,4,81,-0.22275,0.60975,0.00278473962684489,0.00278473962684489,212,MUMR
9,21,480,1649225972,3,50,0.543,-0.52625,0.732386521860206,0.732386521860206,238,MUMRc
10,11,835,1649228064,3,47,0.18375,0.3565,0.18657755499860762,0.18657755499860762,296,MUMRc
11,26,706,1649229612,4,76,0.6115,0.545,0.24812030075187969,0.24812030075187969,140,Random
12,26,862,1649231906,2,45,0.574,-0.4775,0.11779448621553884,0.11779448621553884,224,MUMR
13,21,375,1649235841,3,59,0.83275,0.22825,0.7630186577554998,0.7630186577554998,234,MUMR
14,14,908,1649237244,5,100,0.607,0.3035,0.8911166805903648,0.8911166805903648,189,Random
15,26,70,1649237344,2,39,0.6015,-0.4675,0.005012531328320802,0.005012531328320802,209,MUMRc
16,21,649,1649242058,4,75,-0.0725,-0.6265,0.05291005291005291,0.05291005291005291,267,MUMRc
17,11,375,1649244763,3,46,0.18375,-0.38425,0.36758563074352546,0.36758563074352546,146,MUMR
18,21,114,1649246723,2,35,0.866,-0.50675,0.8187134502923976,0.8187134502923976,231,Random
19,26,390,1649248184,4,60,0.391,0.22925,0.8972431077694235,0.8972431077694235,388,Random
20,26,996,1649250443,5,96,0.86725,0.0715,0.5789473684210527,0.5789473684210527,227,MUMR
21,11,977,1649251477,4,65,0.802,-0.23675,0.8159287106655527,0.8159287106655527,370,MUMRc
22,26,361,1649252732,4,60,0.6165,0.56775,0.18546365914786966,0.18546365914786966,280,MUMRc
23,14,43,1649253138,4,76,0.01125,-0.518,0.2756892230576441,0.2756892230576441,762,MUMR
24,21,43,1649253178,3,59,0.59875,-0.55975,0.8047897521581732,0.8047897521581732,248,MUMR
25,26,52,1649254962,5,92,0.89225,0.124,0.49373433583959897,0.49373433583959897,222,Random
26,21,603,1649255339,4,74,0.206,-0.78525,0.5847953216374269,0.5847953216374269,242,MUMRc
27,14,192,1649256056,3,42,0.245,-0.454,0.2812587023113339,0.2812587023113339,411,Random
28,11,243,1649257102,2,21,0.841,0.3565,0.7490949596212754,0.7490949596212754,189,Random
29,21,739,1649258929,3,47,-0.4735,-0.5515,-0.1921470342522974,-0.1921470342522974,150,MUMR
30,14,23,1649259697,4,59,0.02225,-0.37875,0.2450570871623503,0.2450570871623503,251,MUMRc
31,26,276,1649260134,4,78,0.589,-0.56775,0.5162907268170426,0.5162907268170426,254,MUMR
32,14,258,1649290880,2,36,-0.2145,-0.46225,-0.303536619326093,-0.303536619326093,459,Random
33,26,216,1649291620,4,69,0.797,0.01625,0.6691729323308271,0.6691729323308271,219,MUMRc
34,26,807,1649294835,2,38,0.6415,-0.55775,0.2832080200501253,0.2832080200501253,223,Random
35,21,297,1649301875,4,69,-0.259,-0.62925,0.5096073517126148,0.5096073517126148,194,Random
36,26,168,1649303475,2,26,0.5965,-0.4925,0.042606516290726815,0.042606516290726815,225,MUMR
37,26,414,1649306056,5,99,0.5815,-0.53,0.19548872180451127,0.19548872180451127,321,MUMRc
38,14,739,1649308552,3,55,0.788,0.26175,0.6794764689501531,0.6794764689501531,205,MUMR
39,21,862,1649309395,3,55,-0.19225,-0.7295,-0.34530771372876634,-0.34530771372876634,153,MUMR
40,26,680,1649311234,2,32,0.85975,0.0565,0.16541353383458646,0.16541353383458646,222,MUMR
41,11,43,1649313097,2,37,0.62375,0.1365,0.7769423558897243,0.7769423558897243,240,MUMR
42,21,916,1649313269,4,67,0.33975,-0.63775,0.5123920913394597,0.5123920913394597,257,MUMRc
43,14,480,1649316660,4,68,0.014,-0.2645,0.2199944305207463,0.2199944305207463,226,MUMRc
44,26,639,1649317541,3,51,0.89725,0.1015,0.531328320802005,0.531328320802005,212,Random
45,11,57,1649320301,3,52,0.44,-0.529,0.5430242272347535,0.5430242272347535,268,MUMRc
46,26,925,1649322527,2,30,0.7545,0.0615,0.3533834586466165,0.3533834586466165,384,MUMRc
47,21,46,1649326564,4,68,-0.10025,0.58475,0.09746588693957114,0.09746588693957114,211,Random
48,11,862,1649326798,2,30,0.426,-0.4985,0.48175995544416594,0.48175995544416594,174,MUMR
49,26,74,1649327092,2,33,0.5665,0.61025,0.10776942355889724,0.10776942355889724,225,Random
50,21,333,1649330712,2,34,0.80475,0.15875,0.8159287106655527,0.8159287106655527,163,MUMR
51,11,504,1649331325,2,22,0.53475,-0.21175,0.5680868838763575,0.5680868838763575,295,Random
52,14,743,1649331804,2,33,0.284,0.543,0.2756892230576441,0.2756892230576441,177,Random
53,26,411,1649335278,3,52,0.92975,0.109,0.5939849624060151,0.5939849624060151,761,MUMR
54,14,719,1649336204,4,69,-0.117,0.607,0.04734057365636313,0.04734057365636313,210,MUMRc
55,26,266,1649338963,4,71,0.604,0.6805,0.7218045112781954,0.7218045112781954,203,Random
56,21,440,1649339712,2,31,0.31475,0.1365,0.5653021442495126,0.5653021442495126,164,Random
57,26,609,1649341291,4,67,0.619,-0.515,0.5889724310776943,0.5889724310776943,203,MUMRc
58,14,862,1649341467,2,35,-0.635,0.91625,-0.5959342801448064,-0.5959342801448064,271,MUMR
59,21,962,1649341675,3,57,0.362,0.33425,0.4901141743247006,0.4901141743247006,208,MUMRc
60,11,822,1649342846,2,11,0.88275,0.32025,0.6850459482038429,0.6850459482038429,227,MUMR
61,26,726,1649343649,4,81,0.51875,-0.02375,0.5964912280701754,0.5964912280701754,223,Random
62,21,99,1649345550,2,22,0.53475,0.20325,0.14202172096908938,0.14202172096908938,257,Random
63,26,839,1649345881,4,69,0.6415,-0.00125,0.24060150375939848,0.24060150375939848,200,MUMR
64,11,397,1649347199,3,57,0.841,-0.5765,0.8270676691729323,0.8270676691729323,103,MUMRc
65,14,649,1649376320,5,90,0.2925,0.3175,0.5207463102199944,0.5207463102199944,206,MUMRc
66,26,723,1649378500,2,35,0.4135,-0.59525,0.41854636591478694,0.41854636591478694,255,MUMRc
67,11,911,1649382599,1,8,0.66825,0.1865,0.6599832915622389,0.6599832915622389,228,Random
68,26,652,1649384748,4,63,0.604,-0.5175,0.24310776942355888,0.24310776942355888,525,Random
69,26,883,1649387924,4,80,0.65175,-0.4825,0.5238095238095238,0.5238095238095238,251,MUMRc
70,11,680,1649389046,5,97,0.557,0.415,0.7017543859649122,0.7017543859649122,132,MUMR
71,21,996,1649390075,4,87,-0.23125,0.58475,-0.23391812865497075,-0.23391812865497075,143,MUMR
72,26,591,1649391088,4,78,0.564,-0.5175,0.2581453634085213,0.2581453634085213,298,MUMR
73,19,835,1649391141,4,66,0.32575,0.10025,0.45112781954887216,0.45112781954887216,317,MUMRc
74,14,506,1649391800,1,0,0.4735,0.053,0.2506265664160401,0.2506265664160401,423,Random
75,11,439,1649393270,4,73,0.57375,0.259,0.4873294346978557,0.4873294346978557,253,MUMRc
76,26,372,1649397448,2,34,0.436,-0.2845,0.5939849624060151,0.5939849624060151,280,MUMRc
77,19,87,1649398779,4,61,0.37325,0.28675,0.5346700083542189,0.5346700083542189,247,Random
78,11,411,1649399828,5,90,0.557,-0.518,0.50682261208577,0.50682261208577,724,MUMR
79,14,680,1649400855,5,82,-0.08625,-0.32025,0.4372041214146477,0.4372041214146477,362,MUMR
80,21,70,1649404005,4,68,0.4735,0.5095,0.7296017822333611,0.7296017822333611,214,MUMRc
81,26,268,1649405039,4,79,0.69675,-0.01375,0.5338345864661654,0.5338345864661654,199,Random
82,14,603,1649409379,4,73,-0.20325,-0.03075,-0.0278473962684489,-0.0278473962684489,221,MUMRc
83,21,361,1649412607,4,63,0.568,-0.4705,0.26455026455026454,0.26455026455026454,202,MUMRc
84,14,333,1649413810,5,91,0.0335,0.30625,0.1615148983570036,0.1615148983570036,278,MUMR
85,11,480,1649416909,4,73,0.66275,-0.26725,0.7156780840991367,0.7156780840991367,206,MUMRc
86,19,375,1649417642,5,97,0.518,0.4205,0.6683375104427736,0.6683375104427736,252,MUMR
87,21,276,1649417895,4,81,0.4705,-0.2925,0.8075744917850181,0.8075744917850181,126,MUMR
88,19,791,1649420024,3,34,0.54025,0.2785,0.5402394876079086,0.5402394876079086,243,Random
89,19,977,1649421702,2,23,0.504,0.3425,0.4901141743247006,0.4901141743247006,236,MUMRc
90,26,812,1649423207,3,53,0.50625,-0.54,0.3458646616541353,0.3458646616541353,206,MUMRc
91,11,996,1649424587,3,25,0.70175,-0.401,0.5012531328320802,0.5012531328320802,228,MUMR
92,19,342,1649424814,3,46,0.543,0.22825,0.5123920913394597,0.5123920913394597,370,Random
93,26,469,1649425334,2,31,0.4435,-0.48,0.43609022556390975,0.43609022556390975,241,MUMR
94,14,814,1649427062,4,60,0.02775,-0.39275,0.2812587023113339,0.2812587023113339,295,Random
95,21,158,1649427376,3,53,0.273,-0.6545,0.08911166805903648,0.08911166805903648,207,MUMRc
96,19,43,1649428406,4,70,0.5235,0.15875,0.5346700083542189,0.5346700083542189,333,MUMR
97,26,786,1649429358,3,52,0.50625,-0.56275,0.48120300751879697,0.48120300751879697,208,Random
98,19,397,1649430241,3,52,0.50675,0.12525,0.5235310498468393,0.5235310498468393,203,MUMRc
99,14,168,1649430717,5,89,-0.27575,0.52625,-0.07797270955165692,-0.07797270955165692,329,MUMR
100,26,555,1649431564,3,41,0.604,-0.55275,0.5213032581453634,0.5213032581453634,223,MUMR
101,11,206,1649431799,4,66,0.816,0.4065,0.6961849067112225,0.6961849067112225,314,MUMRc
102,21,275,1649432269,2,18,-0.27,-0.59875,-0.2478418267891952,-0.2478418267891952,243,Random
103,19,148,1649433140,1,25,0.351,0.01125,0.17543859649122806,0.17543859649122806,215,Random
104,26,499,1649433597,1,4,0.589,-0.58525,0.5614035087719298,0.5614035087719298,146,MUMRc
105,26,182,1649466913,4,74,0.11525,-0.62775,0.2606516290726817,0.2606516290726817,238,Random
106,11,276,1649467780,2,24,0.70725,0.23125,0.7658033973823447,0.7658033973823447,165,MUMR
107,21,680,1649468733,4,69,0.52625,-0.46775,0.5847953216374269,0.5847953216374269,240,MUMR
108,26,795,1649469989,4,67,0.28075,-0.53,0.5463659147869674,0.5463659147869674,879,MUMR
109,19,57,1649471564,3,51,0.1615,0.11425,0.3063213589529379,0.3063213589529379,325,MUMRc
110,26,373,1649472961,4,70,0.559,-0.485,0.5488721804511278,0.5488721804511278,309,Random
111,9,375,1649473549,3,55,-0.26725,-0.532,-0.4399888610414926,-0.4399888610414926,306,MUMR
112,21,216,1649473656,3,53,0.5875,-0.36475,0.7908660540239487,0.7908660540239487,241,MUMRc
113,11,23,1649475745,2,25,0.98575,0.77425,0.935672514619883,0.935672514619883,118,MUMRc
114,21,372,1649477187,2,30,0.86325,-0.26175,0.36758563074352546,0.36758563074352546,198,MUMR
115,26,233,1649478265,4,61,0.5665,-0.535,0.531328320802005,0.531328320802005,215,MUMRc
116,19,862,1649479724,3,48,0.2535,0.11425,0.2450570871623503,0.2450570871623503,172,MUMR
117,14,916,1649480294,4,59,-0.28675,-0.0975,-0.01113895850737956,-0.01113895850737956,199,MUMRc
118,9,562,1649480345,4,71,0.4455,-0.4845,0.6655527708159287,0.6655527708159287,210,Random
119,26,504,1649482347,3,49,0.5565,-0.59775,0.47869674185463656,0.47869674185463656,203,Random
120,19,439,1649483438,3,39,0.45125,-0.22,0.33695349484823167,0.33695349484823167,175,MUMRc
121,26,269,1649484773,3,52,0.559,-0.5425,0.47619047619047616,0.47619047619047616,235,MUMR
122,9,835,1649486653,5,88,0.50675,-0.4595,0.6739069896964633,0.6739069896964633,245,MUMRc
123,26,709,1649487201,2,29,0.52125,-0.56775,0.45614035087719296,0.45614035087719296,224,MUMRc
124,21,58,1649487425,4,68,-0.195,0.16975,0.0278473962684489,0.0278473962684489,236,Random
125,19,344,1649487764,3,63,0.33425,-0.37025,0.36758563074352546,0.36758563074352546,263,Random
126,26,418,1649489728,4,73,0.49375,0.40475,0.5238095238095238,0.5238095238095238,317,Random
127,9,731,1649491493,3,44,0.28675,0.3815,0.01949317738791423,0.01949317738791423,262,Random
128,26,170,1649492206,2,32,0.5565,-0.703,0.5338345864661654,0.5338345864661654,286,MUMRc
129,21,411,1649495508,5,59,-0.20875,-0.63225,0.3842940685045948,0.3842940685045948,182,MUMR
130,26,440,1649496958,4,61,0.559,-0.04375,0.5488721804511278,0.5488721804511278,279,MUMR
131,9,397,1649498446,3,43,0.79925,0.2005,-0.14480646059593427,-0.14480646059593427,226,MUMR
132,19,739,1649499017,4,74,0.42325,0.3425,0.5430242272347535,0.5430242272347535,514,MUMR
133,26,239,1649499362,4,68,0.6065,-0.55275,0.49624060150375937,0.49624060150375937,204,MUMRc
134,14,245,1649499899,4,56,0.57075,0.529,0.5430242272347535,0.5430242272347535,179,Random
135,11,168,1649502199,4,66,0.83825,-0.52075,0.7296017822333611,0.7296017822333611,305,MUMR
136,26,67,1649502252,4,70,0.579,-0.52,0.5388471177944862,0.5388471177944862,201,Random
137,9,977,1649505310,2,31,-0.22825,-0.69625,-0.3508771929824561,-0.3508771929824561,323,MUMRc
138,26,14,1649508674,4,86,0.5765,-0.48,0.631578947368421,0.631578947368421,236,MUMR
139,14,532,1649508713,3,43,-0.128,0.543,0.16986911723753828,0.16986911723753828,206,Random
140,11,361,1649509269,2,15,0.54575,-0.35925,0.5040378724589251,0.5040378724589251,284,MUMR
141,21,761,1649509655,4,66,0.74625,-0.30075,0.5792258423837371,0.5792258423837371,139,Random
142,26,97,1649514194,5,100,0.5615,-0.44975,0.5664160401002506,0.5664160401002506,200,MUMRc
143,21,591,1649515850,5,88,0.014,-0.7685,0.21442495126705652,0.21442495126705652,147,MUMR
144,11,434,1649516004,1,6,0.63775,0.15875,0.657198551935394,0.657198551935394,140,MUMRc
145,26,818,1649516431,2,30,0.50125,-0.56775,0.5588972431077694,0.5588972431077694,284,MUMR
146,19,23,1649517093,3,49,-0.2535,0.19225,-0.2478418267891952,-0.2478418267891952,209,MUMRc
147,26,26,1649518855,2,33,0.6165,-0.663,0.6115288220551378,0.6115288220551378,234,Random
148,11,591,1649519599,2,18,0.78525,-0.4205,0.6544138123085491,0.6544138123085491,167,MUMR
149,14,70,1649519912,4,66,0.44825,-0.36475,0.39264828738512947,0.39264828738512947,303,MUMRc
150,9,57,1649519998,2,30,0.752,0.2925,-0.05847953216374269,-0.05847953216374269,220,MUMRc
151,26,673,1649551345,3,53,0.5915,-0.56525,0.568922305764411,0.568922305764411,346,MUMR
152,14,604,1649554182,2,26,0.3955,0.07525,0.12531328320802004,0.12531328320802004,155,Random
153,11,372,1649554457,1,6,0.646,-0.41225,0.48454469507101083,0.48454469507101083,271,MUMRc
154,9,43,1649555187,5,80,-0.23125,0.55975,0.07797270955165692,0.07797270955165692,230,MUMR
155,21,300,1649556222,3,47,0.39825,-0.99975,0.36758563074352546,0.36758563074352546,154,Random
156,11,440,1649556535,3,47,0.71575,-0.245,0.5123920913394597,0.5123920913394597,238,MUMR
157,26,388,1649556630,4,69,0.5715,-0.48,0.5889724310776943,0.5889724310776943,341,MUMRc
158,26,24,1649559339,4,82,0.559,-0.42475,0.5614035087719298,0.5614035087719298,253,Random
159,14,996,1649560981,4,82,0.2395,-0.22275,-0.2701197438039543,-0.2701197438039543,165,MUMR
160,26,934,1649561652,3,59,0.52375,-0.63025,0.48621553884711777,0.48621553884711777,306,MUMR
161,9,439,1649563916,4,75,0.518,0.4705,0.8159287106655527,0.8159287106655527,307,MUMRc
162,26,621,1649564676,4,69,0.441,-0.6805,0.506265664160401,0.506265664160401,425,Random
163,19,361,1649566296,3,46,-0.2535,-0.078,-0.4065719855193539,-0.4065719855193539,209,MUMR
164,21,609,1649566568,2,36,-0.21725,-0.635,-0.0278473962684489,-0.0278473962684489,345,MUMRc
165,26,955,1649567491,4,57,0.54375,-0.59025,0.5413533834586466,0.5413533834586466,422,MUMRc
166,9,85,1649567878,1,8,0.66,-0.18375,-0.22834864940128097,-0.22834864940128097,228,Random
167,26,578,1649569745,3,52,0.6115,-0.57275,0.5714285714285714,0.5714285714285714,207,Random
168,11,719,1649571091,2,23,0.57925,-0.23675,0.48454469507101083,0.48454469507101083,211,MUMRc
169,19,223,1649571729,3,56,-0.46225,-0.23125,-0.3508771929824561,-0.3508771929824561,303,Random
170,21,170,1649571795,3,57,0.5095,-0.529,0.45669729880256194,0.45669729880256194,310,Random
171,14,414,1649572922,3,54,-0.01125,-0.273,0.0,0.0,202,MUMRc
172,9,168,1649574548,3,43,0.22,-0.465,0.02506265664160401,0.02506265664160401,310,MUMR
173,26,282,1649574725,4,62,0.49375,-0.61525,0.5388471177944862,0.5388471177944862,235,MUMRc
174,11,333,1649575549,3,48,0.3035,-0.3035,0.4177109440267335,0.4177109440267335,174,MUMR
175,21,469,1649578791,4,80,-0.309,-0.646,-0.5012531328320802,-0.5012531328320802,329,MUMR
176,26,790,1649579294,4,70,0.65925,-0.5125,0.5664160401002506,0.5664160401002506,263,MUMRc
177,19,996,1649579855,3,58,-0.206,-0.30075,-0.2951824004455583,-0.2951824004455583,303,MUMR
178,26,727,1649581580,4,72,0.53375,-0.52,0.6240601503759399,0.6240601503759399,199,MUMR
179,21,925,1649582241,2,33,-0.22825,-0.607,-0.0556947925368978,-0.0556947925368978,122,MUMRc
180,26,360,1649583794,4,76,0.53625,-0.55275,0.48872180451127817,0.48872180451127817,212,MUMRc
181,9,23,1649584361,3,45,0.4595,-0.33975,0.28404344193817876,0.28404344193817876,293,MUMRc
182,21,565,1649586005,3,45,0.55425,-0.5625,0.7797270955165692,0.7797270955165692,264,Random
183,26,384,1649586415,2,17,0.6165,-0.64775,0.6090225563909775,0.6090225563909775,605,Random
184,19,886,1649588068,5,88,-0.07525,-0.2255,0.08911166805903648,0.08911166805903648,208,MUMRc
185,11,603,1649588455,4,68,0.103,0.44,0.3564466722361459,0.3564466722361459,121,MUMRc
186,21,723,1649588605,3,43,0.77125,0.078,0.8883319409635199,0.8883319409635199,145,MUMRc
187,26,848,1649588667,2,45,0.52125,-0.545,0.5463659147869674,0.5463659147869674,209,MUMR
188,9,822,1649589339,4,76,-0.234,-0.891,0.2979671400724032,0.2979671400724032,359,MUMR
189,26,117,1649591436,4,67,0.569,-0.5125,0.5639097744360902,0.5639097744360902,358,MUMRc
190,26,6,1649593651,4,70,0.564,-0.505,0.38095238095238093,0.38095238095238093,208,MUMR
191,26,920,1649596712,2,29,0.46375,-0.535,0.44360902255639095,0.44360902255639095,296,Random
192,9,759,1649597821,4,66,0.8745,0.128,0.8465608465608465,0.8465608465608465,169,Random
193,14,900,1649598565,2,38,0.131,-0.3315,0.01392369813422445,0.01392369813422445,173,Random
194,21,757,1649598642,4,83,0.76575,-0.014,0.7964355332776385,0.7964355332776385,207,MUMR
195,9,739,1649600186,4,79,0.387,0.55975,0.4399888610414926,0.4399888610414926,184,MUMR
196,19,465,1649600564,3,59,0.245,0.4595,0.29239766081871343,0.29239766081871343,208,Random
197,14,372,1649600999,2,17,0.117,-0.245,-0.18100807574491784,-0.18100807574491784,272,MUMRc
198,11,158,1649601071,2,23,0.7825,0.309,0.5987190197716513,0.5987190197716513,274,MUMR
199,14,276,1649603005,4,79,0.35925,-0.195,0.04455583402951824,0.04455583402951824,182,MUMR
200,9,886,1649603632,4,74,0.0695,0.8465,0.5513784461152882,0.5513784461152882,383,MUMRc
201,21,883,1649604417,3,68,0.724,-0.078,0.6766917293233082,0.6766917293233082,234,MUMRc
202,19,276,1649604483,4,71,0.1115,0.557,0.3091060985797828,0.3091060985797828,183,MUMR
203,19,752,1649605823,2,24,0.312,0.167,0.07797270955165692,0.07797270955165692,188,Random
204,9,905,1649606528,3,56,0.44,-0.44825,0.48454469507101083,0.48454469507101083,186,Random
205,14,962,1649635785,3,49,0.28675,-0.0445,0.08911166805903648,0.08911166805903648,290,MUMRc
206,26,490,1649637597,4,67,0.54875,-0.5175,0.45864661654135336,0.45864661654135336,272,MUMR
207,21,780,1649638714,3,60,-0.13925,-0.529,0.15873015873015872,0.15873015873015872,246,Random
208,11,170,1649640566,4,68,0.52625,-0.3315,0.5291005291005291,0.5291005291005291,241,MUMRc
209,9,333,1649640642,5,88,-0.28125,0.18925,0.1392369813422445,0.1392369813422445,279,MUMR
210,26,541,1649642395,4,65,0.0,0.0,0.37343358395989973,0.37343358395989973,378,Random
211,26,523,1649645208,4,84,0.5615,0.58525,0.2706766917293233,0.2706766917293233,710,MUMR
212,21,839,1649647077,2,32,-0.2005,0.23675,-0.328599275967697,-0.328599275967697,207,MUMR
213,11,269,1649647714,3,48,0.15875,0.32575,0.28961292119186854,0.28961292119186854,560,MUMR
214,26,598,1649648084,4,70,0.4235,0.41975,0.5463659147869674,0.5463659147869674,786,Random
215,26,667,1649650323,4,86,0.32575,0.37725,0.3558897243107769,0.3558897243107769,216,MUMRc
216,21,812,1649651257,2,18,-0.12525,-0.44,-0.2951824004455583,-0.2951824004455583,202,MUMRc
217,9,329,1649652230,4,66,-0.37325,-0.6265,0.2450570871623503,0.2450570871623503,288,Random
218,26,741,1649652654,4,69,0.446,0.02875,0.38847117794486213,0.38847117794486213,312,Random
219,11,839,1649653769,2,32,0.28675,-0.57925,0.4177109440267335,0.4177109440267335,120,MUMR
220,9,480,1649653894,4,75,0.0335,-0.62375,0.15037593984962405,0.15037593984962405,352,MUMRc
221,26,223,1649656850,4,82,0.65925,-0.5175,0.2807017543859649,0.2807017543859649,254,MUMR
222,19,480,1649659261,2,39,0.4705,0.362,0.3592314118629908,0.3592314118629908,159,MUMRc
223,11,916,1649659665,4,70,-0.092,0.30075,0.07797270955165692,0.07797270955165692,574,MUMRc
224,21,204,1649661056,4,75,0.20875,-0.54025,0.4706209969367864,0.4706209969367864,254,MUMR
225,9,104,1649662094,3,47,0.635,0.0195,0.42884990253411304,0.42884990253411304,217,Random
226,26,518,1649663257,4,77,0.5765,0.02875,0.5639097744360902,0.5639097744360902,296,MUMRc
